file_name,hash,version,ingested_at,file_size
sales_001.csv,96f80740f296cc4b9b1c8c65e49b3f4e8909a7a3873ae21b4a15c79c2bc2cac8,1,2026-09-15 20:30:00,100
sales_001.csv,784bc34efe2086de8c940670e2526ae7618526a50f1297838fc9e9cef9c146a7,2,2026-09-15 21:41:00,240
sales_001.csv,7827876442051a96e98edb7703e9d38b8251a47cd93423356a11d935ac992ec6,3,2026-09-16 21:16:58,240
sales_002.csv,fdcd3d4ca0e410785e5186a5c5d0094f3f8f3fbbcfb056a5a84307fbf832686a,1,2026-09-16 21:22:06,195
sales_003.csv,03aaed4cbf279fc931906fa5ade016dbcbfec359df94d1565b2b71530b9bfd94,1,2026-09-16 21:22:06,148
sales_004.csv,7c18f23d67b2bfa6c41dca61b64d7224d0a31700398d1dc008f44094c07426c2,1,2026-09-16 21:22:06,146
sales_002.csv,29e464a0c02ec1ca817c753db004fcca414c898250b23981501dd0a417b206af,2,2026-09-16 21:24:37,195
sales_001.csv,eb09711100a0f5cd155526553ed51611eb97d29f6f9cf0d6603ee1bda16c76d8,4,2026-09-20 17:10:09,240
sales_002.csv,456954a8d0a60fdbb38127ff3c0005ae2df67ca038e949066c7a1ad3ef78c7e4,3,2026-09-20 17:10:09,195
sales_003.csv,e271ca64f10712cdef3ff3c70b204ed083e7255c5477cd6b4744a183ec8c376b,2,2026-09-20 17:10:09,148
sales_004.csv,272fccf7037cbb9f7cd357d3debfdaabb9754cc9b244b2ba3f5a9edda711db79,2,2026-09-20 17:10:09,146
sales_001.csv,7844eac7ecd575e6181a1b5a5e7667b31f2fb7c5ed2153532a6363b667e78e82,5,2026-09-20 17:35:52,241
sales_001_backup.csv,eb09711100a0f5cd155526553ed51611eb97d29f6f9cf0d6603ee1bda16c76d8,1,2026-09-20 17:35:52,240
